Order_ID,Customer,Country,Region,Sales_Person,Product,Category,Amount,Currency,Order_Date,Payment_Method,Order_Status
10020,Client_126,UK,EMEA,Michael Chen,MacBook Pro M3,Electronics,2499,EUR,08/09/2023,Crypto,In Review
10021,Client_696,UK,EMEA,Michael Chen,Thunderbolt Dock,Accessories,299,GBP,N/A,Wire Transfer,Completed
10022,Client_712,USA,North America,Yuki Tanaka,Conference Table,Furniture,2100,USD,05/07/2023,Credit Card,Completed
10023,Client_59,Nigeria,Africa,Sarah Jenkins,Conference Table,Furniture,2100,USD,2023.11.10,Credit Card,In Review
10024,Client_552,Germany,EMEA,Michael Chen,Enterprise Server,Infrastructure,15200,USD,28/09/2023,Crypto,Pending
10025,Client_324,USA,North America,Sarah Jenkins,MacBook Pro M3,Electronics,2499,USD,"Jan 31, 2024",PayPal,Cancelled
10026,Client_761,Canada,North America,Elena Rodriguez,MacBook Pro M3,Electronics,2499,USD,22/04/2024,Wire Transfer,Cancelled
10027,Client_437,Germany,EMEA,Michael Chen,iPhone 15 Pro,Electronics,999,USD,"May 26, 2023",Crypto,Completed
10028,Client_595,Australia,APAC,Sarah Jenkins,MacBook Pro M3,Electronics,2499 approx,USD,2023-14-32,PayPal,Completed
10029,Client_860,Australia,APAC,Elena Rodriguez,Electric Standing Desk,Furniture,850,NGN,01/31/2023,Credit Card,Completed
10030,Client_735,Australia,APAC,Sarah Jenkins,Thunderbolt Dock,Accessories,299,GBP,"Jan 21, 2023",Crypto,Completed
10031,Client_983,Nigeria,Africa,Yuki Tanaka,iPhone 15 Pro,Electronics,999,USD,2023.02.17,Crypto,Pending
10032,Client_989,Japan,APAC,Yuki Tanaka,MacBook Pro M3,Electronics,USD 2499,USD,07/04/2023,Wire Transfer,Pending
10033,Client_397,Germany,EMEA,Sarah Jenkins,Samsung S23 Ultra,Electronics,1199,NGN,"Jan 21, 2023",Wire Transfer,Completed
10034,Client_185,Nigeria,Africa,David Okoro,MacBook Pro M3,Electronics,2499,USD,17/04/2023,Crypto,Completed
10035,Client_971,USA,North America,Michael Chen,Electric Standing Desk,Furniture,850,USD,2024.02.01,Wire Transfer,Cancelled
10036,Client_508,Japan,APAC,Michael Chen,Herman Miller Chair,Furniture,1450,USD,N/A,Crypto,Cancelled
10037,Client_666,UK,EMEA,Yuki Tanaka,Thunderbolt Dock,Accessories,299,NGN,2023.11.12,Wire Transfer,Cancelled
10038,Client_827,Australia,APAC,Sarah Jenkins,Thunderbolt Dock,Accessories,299,JPY,2023-14-32,Crypto,Completed
10039,Client_546,UK,EMEA,Elena Rodriguez,Electric Standing Desk,Furniture,850,USD,"Nov 05, 2023",Wire Transfer,Completed
10040,Client_214,Germany,EMEA,Sarah Jenkins,Enterprise Server,Infrastructure,15200,GBP,02/25/2024,Crypto,Completed
10041,Client_696,Nigeria,Africa,Sarah Jenkins,Rack Cabinet,Infrastructure,1200,JPY,06/22/2023,Wire Transfer,Cancelled
10042,Client_418,UK,EMEA,David Okoro,MacBook Pro M3,Electronics,2499,USD,2023-14-32,PayPal,Cancelled
10043,Client_951,UK,EMEA,Elena Rodriguez,iPhone 15 Pro,Electronics,999,USD,08/04/2024,PayPal,Completed
10044,Client_570,Germany,EMEA,David Okoro,Electric Standing Desk,Furniture,850,USD,07/24/2023,Credit Card,Completed
10045,Client_42,Japan,APAC,Michael Chen,Conference Table,Furniture,2100,USD,"Oct 13, 2023",Crypto,Completed
10046,Client_606,UK,EMEA,Sarah Jenkins,Herman Miller Chair,Furniture,1450,USD,2023-14-32,Crypto,In Review
10047,Client_264,USA,North America,Elena Rodriguez,Network Switch,Infrastructure,4500,USD,02/10/2024,Wire Transfer,Cancelled
10048,Client_296,Australia,APAC,David Okoro,iPhone 15 Pro,Electronics,999,EUR,2023.05.27,Crypto,In Review
10049,Client_914,Japan,APAC,Michael Chen,iPhone 15 Pro,Electronics,999,EUR,27/09/2023,Credit Card,Pending
10050,Client_305,USA,North America,Sarah Jenkins,Rack Cabinet,Infrastructure,1200,USD,02/02/2024,PayPal,Completed
10051,Client_956,USA,North America,Michael Chen,Thunderbolt Dock,Accessories,USD 299,USD,11/05/2023,Wire Transfer,In Review
10052,Client_502,Japan,APAC,Sarah Jenkins,iPhone 15 Pro,Electronics,,USD,2023-14-32,Credit Card,Completed
10053,Client_528,UK,EMEA,David Okoro,Conference Table,Furniture,2100,GBP,12/03/2024,Crypto,Cancelled
10054,Client_799,Germany,EMEA,Michael Chen,Enterprise Server,Infrastructure,,NGN,2024.03.07,PayPal,Pending
10055,Client_216,Canada,North America,Elena Rodriguez,iPhone 15 Pro,Electronics,999,USD,N/A,PayPal,Completed
10056,Client_109,Canada,North America,David Okoro,Electric Standing Desk,Furniture,850,GBP,22/03/2024,Crypto,In Review
10057,Client_875,Germany,EMEA,Elena Rodriguez,Thunderbolt Dock,Accessories,299,EUR,26/01/2023,Crypto,Completed
10058,Client_503,Nigeria,Africa,Sarah Jenkins,Sony WH-1000XM5,Accessories,399,USD,2024.01.15,Credit Card,Pending
10059,Client_588,Australia,APAC,Michael Chen,Samsung S23 Ultra,Electronics,USD 1199,EUR,2024.02.25,Crypto,Pending
10060,Client_584,Nigeria,Africa,Sarah Jenkins,Herman Miller Chair,Furniture,1450,USD,2023-14-32,Wire Transfer,Completed
10061,Client_232,UK,EMEA,Yuki Tanaka,MacBook Pro M3,Electronics,2499,USD,04/25/2023,Crypto,Pending
10062,Client_659,Nigeria,Africa,Elena Rodriguez,Thunderbolt Dock,Accessories,299,EUR,07/28/2023,Crypto,Completed
10063,Client_53,Australia,APAC,Michael Chen,MacBook Pro M3,Electronics,2499,GBP,2024.03.06,Credit Card,Completed
10064,Client_587,USA,North America,Yuki Tanaka,Conference Table,Furniture,2100,USD,"Feb 12, 2023",Credit Card,Cancelled
10065,Client_537,Japan,APAC,Sarah Jenkins,Enterprise Server,Infrastructure,15200,USD,19/05/2023,Crypto,Cancelled
10066,Client_806,Australia,APAC,Sarah Jenkins,Thunderbolt Dock,Accessories,299,GBP,30/07/2023,Crypto,Pending
10067,Client_612,UK,EMEA,David Okoro,Samsung S23 Ultra,Electronics,1199,USD,01/01/2023,Crypto,Cancelled
10068,Client_210,Canada,North America,Yuki Tanaka,Sony WH-1000XM5,Accessories,399 approx,GBP,05/01/2024,Credit Card,Pending
10069,Client_55,Canada,North America,Michael Chen,Herman Miller Chair,Furniture,1450,JPY,20/03/2024,Wire Transfer,In Review
10069,Client_55,Canada,North America,Michael Chen,Herman Miller Chair,Furniture,1450,JPY,20/03/2024,Wire Transfer,In Review
10070,Client_233,Canada,North America,Sarah Jenkins,Network Switch,Infrastructure,4500,USD,08/01/2023,Wire Transfer,Pending
10071,Client_265,Nigeria,Africa,Michael Chen,Rack Cabinet,Infrastructure,1200,GBP,17/04/2023,Wire Transfer,Cancelled
10072,Client_148,Australia,APAC,Yuki Tanaka,Electric Standing Desk,Furniture,850,USD,26/11/2023,PayPal,Pending
10073,Client_632,USA,North America,David Okoro,Conference Table,Furniture,2100,USD,2023.09.08,Wire Transfer,Completed
10074,Client_108,Australia,APAC,Sarah Jenkins,Logitech MX Master,Accessories,99,NGN,"May 13, 2023",Credit Card,In Review
10075,Client_241,Nigeria,Africa,Yuki Tanaka,Rack Cabinet,Infrastructure,1200,USD,13/07/2023,PayPal,In Review
10076,Client_801,Germany,EMEA,Yuki Tanaka,iPhone 15 Pro,Electronics,999,GBP,02/05/2023,Credit Card,In Review
10077,Client_209,Japan,APAC,Michael Chen,Logitech MX Master,Accessories,99,USD,01/20/2023,PayPal,Pending
10078,Client_198,Germany,EMEA,Sarah Jenkins,Electric Standing Desk,Furniture,850 approx,USD,N/A,Credit Card,Cancelled
10079,Client_591,Japan,APAC,Yuki Tanaka,Logitech MX Master,Accessories,USD 99,USD,"Mar 26, 2023",Crypto,Pending
10079,Client_591,Japan,APAC,Yuki Tanaka,Logitech MX Master,Accessories,USD 99,USD,"Mar 26, 2023",Crypto,Pending
10080,Client_496,Canada,North America,Sarah Jenkins,Samsung S23 Ultra,Electronics,1199,NGN,2023-14-32,PayPal,In Review
10081,Client_560,Canada,North America,Elena Rodriguez,Herman Miller Chair,Furniture,1450,GBP,20/01/2024,Credit Card,Cancelled
10082,Client_345,UK,EMEA,Michael Chen,Electric Standing Desk,Furniture,850,NGN,06/07/2023,Credit Card,Completed
10083,Client_378,Nigeria,Africa,Michael Chen,Conference Table,Furniture,USD 2100,USD,21/06/2023,Credit Card,Completed
10084,Client_995,UK,EMEA,Yuki Tanaka,Conference Table,Furniture,,USD,19/03/2023,Wire Transfer,Cancelled
10085,Client_155,UK,EMEA,Sarah Jenkins,Electric Standing Desk,Furniture,850,GBP,"Mar 07, 2024",Wire Transfer,Completed
10086,Client_675,USA,North America,Elena Rodriguez,Sony WH-1000XM5,Accessories,399,USD,N/A,Credit Card,Pending
10087,Client_55,Canada,North America,Michael Chen,Electric Standing Desk,Furniture,850,USD,18/06/2023,Crypto,Completed
10088,Client_610,Germany,EMEA,Elena Rodriguez,Rack Cabinet,Infrastructure,1200,JPY,01/11/2023,PayPal,Cancelled
10089,Client_612,Japan,APAC,Michael Chen,iPhone 15 Pro,Electronics,999,USD,N/A,Crypto,Pending
10090,Client_428,Germany,EMEA,Sarah Jenkins,Sony WH-1000XM5,Accessories,399,GBP,08/04/2023,PayPal,Cancelled
10091,Client_19,Canada,North America,David Okoro,Rack Cabinet,Infrastructure,1200,USD,09/18/2023,PayPal,Completed
10092,Client_38,Canada,North America,David Okoro,iPhone 15 Pro,Electronics,999,USD,2023.10.21,Credit Card,Pending
10093,Client_209,Japan,APAC,Michael Chen,Electric Standing Desk,Furniture,850,USD,04/08/2024,Crypto,Pending
10094,Client_249,Australia,APAC,Michael Chen,Enterprise Server,Infrastructure,15200,EUR,"Jul 19, 2023",Wire Transfer,Cancelled
10095,Client_141,Japan,APAC,Michael Chen,iPhone 15 Pro,Electronics,999,USD,06/02/2023,Credit Card,In Review
10096,Client_831,USA,North America,Yuki Tanaka,Samsung S23 Ultra,Electronics,1199,USD,N/A,Credit Card,In Review
10097,Client_827,USA,North America,Michael Chen,Sony WH-1000XM5,Accessories,399,USD,13/01/2024,PayPal,Completed
10098,Client_592,Nigeria,Africa,Yuki Tanaka,Conference Table,Furniture,2100,NGN,01/26/2024,Credit Card,Completed
10099,Client_907,Canada,North America,Sarah Jenkins,Network Switch,Infrastructure,4500,USD,2023-14-32,Crypto,Completed
10100,Client_725,Nigeria,Africa,Yuki Tanaka,Thunderbolt Dock,Accessories,299,NGN,08/11/2023,Credit Card,Pending
10101,Client_33,UK,EMEA,Michael Chen,Samsung S23 Ultra,Electronics,1199,EUR,10/12/2023,Wire Transfer,Completed
10102,Client_128,Nigeria,Africa,Elena Rodriguez,Samsung S23 Ultra,Electronics,1199,USD,15/12/2023,Wire Transfer,Cancelled
10102,Client_128,Nigeria,Africa,Elena Rodriguez,Samsung S23 Ultra,Electronics,1199,USD,15/12/2023,Wire Transfer,Cancelled
10103,Client_580,Japan,APAC,Sarah Jenkins,MacBook Pro M3,Electronics,2499,EUR,2023.10.16,Wire Transfer,Completed
10104,Client_682,Australia,APAC,Yuki Tanaka,Conference Table,Furniture,2100,USD,26/01/2023,Wire Transfer,In Review
10105,Client_467,UK,EMEA,Sarah Jenkins,Electric Standing Desk,Furniture,850,GBP,20/02/2023,Crypto,Pending
10106,Client_855,Australia,APAC,Michael Chen,Electric Standing Desk,Furniture,850,NGN,N/A,Credit Card,In Review
10107,Client_458,Japan,APAC,Sarah Jenkins,Herman Miller Chair,Furniture,1450,GBP,"May 12, 2023",PayPal,Cancelled
10107,Client_458,Japan,APAC,Sarah Jenkins,Herman Miller Chair,Furniture,1450,GBP,"May 12, 2023",PayPal,Cancelled
10108,Client_127,Australia,APAC,Michael Chen,Conference Table,Furniture,2100,USD,"Mar 21, 2023",PayPal,In Review
10109,Client_729,Japan,APAC,David Okoro,Samsung S23 Ultra,Electronics,,USD,N/A,PayPal,In Review
10110,Client_399,Canada,North America,David Okoro,Sony WH-1000XM5,Accessories,399,USD,"Jun 17, 2023",Wire Transfer,Cancelled
10111,Client_877,Nigeria,Africa,Michael Chen,Conference Table,Furniture,2100,USD,N/A,Wire Transfer,Pending
10112,Client_497,Canada,North America,Sarah Jenkins,MacBook Pro M3,Electronics,2499,USD,09/04/2024,Credit Card,In Review
10113,Client_920,Australia,APAC,Sarah Jenkins,Herman Miller Chair,Furniture,1450,EUR,N/A,Crypto,Pending
10114,Client_628,USA,North America,Sarah Jenkins,MacBook Pro M3,Electronics,2499,USD,10/15/2023,Wire Transfer,In Review
10115,Client_639,Australia,APAC,Sarah Jenkins,MacBook Pro M3,Electronics,2499,USD,2023.02.16,Crypto,Completed
10116,Client_711,Australia,APAC,Michael Chen,Herman Miller Chair,Furniture,1450,NGN,26/01/2023,PayPal,Completed
10117,Client_436,Canada,North America,Elena Rodriguez,Enterprise Server,Infrastructure,15200,USD,10/02/2023,Wire Transfer,Pending
10118,Client_72,UK,EMEA,Yuki Tanaka,MacBook Pro M3,Electronics,2499,USD,23/09/2023,Crypto,Cancelled
10119,Client_646,Nigeria,Africa,Elena Rodriguez,Network Switch,Infrastructure,4500,USD,"Oct 16, 2023",Crypto,Cancelled
10120,Client_773,Australia,APAC,Sarah Jenkins,MacBook Pro M3,Electronics,2499,USD,"Oct 16, 2023",PayPal,Completed
10121,Client_850,UK,EMEA,David Okoro,MacBook Pro M3,Electronics,2499,GBP,15/07/2023,PayPal,Pending
10122,Client_438,Germany,EMEA,Yuki Tanaka,Thunderbolt Dock,Accessories,299,EUR,17/03/2023,Credit Card,Pending
10123,Client_498,Germany,EMEA,Yuki Tanaka,Herman Miller Chair,Furniture,1450,JPY,06/03/2024,Credit Card,Completed
10124,Client_96,Canada,North America,Elena Rodriguez,Logitech MX Master,Accessories,99,JPY,2023-14-32,Wire Transfer,In Review
10125,Client_494,Japan,APAC,Sarah Jenkins,Rack Cabinet,Infrastructure,1200,USD,"May 15, 2023",Crypto,Completed
10126,Client_715,UK,EMEA,David Okoro,iPhone 15 Pro,Electronics,999,USD,12/08/2023,PayPal,In Review
10127,Client_700,Canada,North America,Sarah Jenkins,Logitech MX Master,Accessories,99,USD,2023.04.06,Wire Transfer,Completed
10128,Client_681,Australia,APAC,David Okoro,iPhone 15 Pro,Electronics,999,USD,01/09/2024,PayPal,Pending
10129,Client_570,Japan,APAC,Michael Chen,Conference Table,Furniture,2100,USD,2024.03.04,Crypto,Pending
10130,Client_391,USA,North America,David Okoro,iPhone 15 Pro,Electronics,999,USD,29/04/2023,Crypto,Cancelled
10131,Client_977,Canada,North America,Michael Chen,Logitech MX Master,Accessories,99,USD,2023.05.07,Wire Transfer,Completed
10132,Client_657,UK,EMEA,David Okoro,MacBook Pro M3,Electronics,2499,NGN,09/08/2023,Crypto,Cancelled
10133,Client_10,USA,North America,Elena Rodriguez,Enterprise Server,Infrastructure,15200,USD,27/01/2023,Crypto,Pending
10134,Client_505,Japan,APAC,David Okoro,Thunderbolt Dock,Accessories,299,JPY,"Nov 27, 2023",Credit Card,In Review
10135,Client_243,Japan,APAC,Michael Chen,Conference Table,Furniture,2100,USD,06/06/2023,Credit Card,Pending
10136,Client_835,Australia,APAC,Sarah Jenkins,Rack Cabinet,Infrastructure,1200,USD,28/12/2023,PayPal,In Review
10137,Client_856,Canada,North America,Michael Chen,Sony WH-1000XM5,Accessories,USD 399,USD,N/A,Crypto,Completed
10138,Client_50,UK,EMEA,David Okoro,Conference Table,Furniture,2100,EUR,N/A,PayPal,In Review
10139,Client_420,Japan,APAC,David Okoro,Electric Standing Desk,Furniture,850,USD,24/11/2023,Crypto,Completed
10140,Client_488,Nigeria,Africa,Elena Rodriguez,Sony WH-1000XM5,Accessories,399,USD,2023.10.30,Wire Transfer,Completed
10141,Client_660,UK,EMEA,David Okoro,Samsung S23 Ultra,Electronics,USD 1199,USD,2023.12.21,PayPal,Pending
10142,Client_892,USA,North America,Yuki Tanaka,Enterprise Server,Infrastructure,15200,USD,20/10/2023,PayPal,In Review
10143,Client_992,UK,EMEA,David Okoro,Electric Standing Desk,Furniture,,NGN,2023-14-32,Credit Card,Pending
10144,Client_84,Australia,APAC,Sarah Jenkins,iPhone 15 Pro,Electronics,999,USD,N/A,Wire Transfer,In Review
10145,Client_934,Australia,APAC,Yuki Tanaka,Sony WH-1000XM5,Accessories,399,USD,N/A,Wire Transfer,Completed
10145,Client_934,Australia,APAC,Yuki Tanaka,Sony WH-1000XM5,Accessories,399,USD,N/A,Wire Transfer,Completed
10146,Client_890,Germany,EMEA,David Okoro,Enterprise Server,Infrastructure,USD 15200,JPY,"Jul 07, 2023",PayPal,In Review
10147,Client_494,UK,EMEA,Michael Chen,Samsung S23 Ultra,Electronics,1199,USD,11/03/2023,Crypto,Cancelled
10148,Client_837,Nigeria,Africa,Sarah Jenkins,Logitech MX Master,Accessories,99,EUR,07/07/2023,Credit Card,Cancelled
10149,Client_301,USA,North America,Sarah Jenkins,Logitech MX Master,Accessories,99,USD,25/01/2023,Credit Card,Completed
10150,Client_464,Australia,APAC,Michael Chen,Herman Miller Chair,Furniture,1450,GBP,31/01/2023,PayPal,Completed
10151,Client_359,Australia,APAC,Yuki Tanaka,Rack Cabinet,Infrastructure,1200,GBP,2023.02.18,Wire Transfer,Completed
10152,Client_703,Canada,North America,Elena Rodriguez,Logitech MX Master,Accessories,99,EUR,N/A,Credit Card,Completed
10153,Client_17,Australia,APAC,Sarah Jenkins,Conference Table,Furniture,,JPY,05/09/2023,Credit Card,Pending
10154,Client_116,Japan,APAC,Yuki Tanaka,iPhone 15 Pro,Electronics,999,USD,2023.03.09,Credit Card,Cancelled
10155,Client_838,Nigeria,Africa,Sarah Jenkins,Logitech MX Master,Accessories,99,GBP,31/01/2024,Crypto,In Review
10156,Client_959,Nigeria,Africa,Yuki Tanaka,Sony WH-1000XM5,Accessories,399,JPY,20/03/2024,Crypto,Pending
10157,Client_669,Germany,EMEA,Yuki Tanaka,Rack Cabinet,Infrastructure,1200,USD,"Sep 01, 2023",Credit Card,Completed
10157,Client_669,Germany,EMEA,Yuki Tanaka,Rack Cabinet,Infrastructure,1200,USD,"Sep 01, 2023",Credit Card,Completed
10158,Client_985,Japan,APAC,David Okoro,Enterprise Server,Infrastructure,USD 15200,JPY,23/06/2023,Wire Transfer,Completed
10159,Client_799,Nigeria,Africa,Yuki Tanaka,Herman Miller Chair,Furniture,1450,USD,29/01/2024,PayPal,Pending
10160,Client_761,Nigeria,Africa,David Okoro,Conference Table,Furniture,2100,USD,30/01/2023,Wire Transfer,Completed
10161,Client_627,UK,EMEA,Sarah Jenkins,Samsung S23 Ultra,Electronics,1199,GBP,28/02/2023,Credit Card,Pending
10162,Client_676,Australia,APAC,Michael Chen,Electric Standing Desk,Furniture,,GBP,2023.08.14,Credit Card,Cancelled
10163,Client_525,Nigeria,Africa,Michael Chen,Sony WH-1000XM5,Accessories,399,USD,N/A,Wire Transfer,In Review
10164,Client_312,Australia,APAC,Elena Rodriguez,Rack Cabinet,Infrastructure,1200,USD,08/12/2023,Crypto,Completed
10165,Client_194,Canada,North America,Elena Rodriguez,Sony WH-1000XM5,Accessories,399,GBP,N/A,PayPal,Pending
10166,Client_603,Japan,APAC,David Okoro,Rack Cabinet,Infrastructure,1200,USD,09/09/2023,Credit Card,Pending
10167,Client_773,Australia,APAC,Elena Rodriguez,Conference Table,Furniture,2100,NGN,N/A,Credit Card,Completed
10168,Client_671,Germany,EMEA,Sarah Jenkins,Thunderbolt Dock,Accessories,299,USD,"Nov 04, 2023",Credit Card,Completed
10169,Client_944,Australia,APAC,David Okoro,Network Switch,Infrastructure,4500,JPY,03/09/2023,PayPal,Cancelled
10170,Client_528,Canada,North America,David Okoro,Herman Miller Chair,Furniture,1450,USD,2023.08.21,Credit Card,Completed
10171,Client_99,Nigeria,Africa,Michael Chen,Logitech MX Master,Accessories,,JPY,29/08/2023,Credit Card,Completed
10172,Client_622,Nigeria,Africa,David Okoro,Logitech MX Master,Accessories,99,EUR,2023.03.08,Credit Card,Pending
10173,Client_682,Canada,North America,Elena Rodriguez,Rack Cabinet,Infrastructure,1200,USD,07/01/2023,Wire Transfer,In Review
10174,Client_440,Australia,APAC,David Okoro,Rack Cabinet,Infrastructure,1200,EUR,26/11/2023,PayPal,Cancelled
10175,Client_197,Japan,APAC,Elena Rodriguez,Enterprise Server,Infrastructure,15200,USD,2023.07.27,Crypto,Completed
10176,Client_764,USA,North America,Elena Rodriguez,Logitech MX Master,Accessories,99,USD,20/12/2023,Wire Transfer,Completed
10177,Client_214,Germany,EMEA,Sarah Jenkins,Conference Table,Furniture,2100,JPY,28/08/2023,Wire Transfer,In Review
10178,Client_621,Germany,EMEA,Elena Rodriguez,Herman Miller Chair,Furniture,1450,JPY,09/17/2023,Credit Card,In Review
10179,Client_797,Canada,North America,David Okoro,Conference Table,Furniture,2100,NGN,2023.06.29,PayPal,Pending
10180,Client_559,Japan,APAC,Elena Rodriguez,Rack Cabinet,Infrastructure,1200,GBP,11/10/2023,Wire Transfer,Pending
10181,Client_710,UK,EMEA,Yuki Tanaka,Sony WH-1000XM5,Accessories,399,NGN,24/09/2023,PayPal,Completed
10182,Client_463,Australia,APAC,David Okoro,Thunderbolt Dock,Accessories,299,JPY,2023.03.02,Credit Card,In Review
10182,Client_463,Australia,APAC,David Okoro,Thunderbolt Dock,Accessories,299,JPY,2023.03.02,Credit Card,In Review
10183,Client_400,UK,EMEA,Michael Chen,Samsung S23 Ultra,Electronics,,EUR,2023.03.30,PayPal,Completed
10184,Client_786,Nigeria,Africa,David Okoro,Electric Standing Desk,Furniture,850,USD,01/02/2023,Credit Card,In Review
10185,Client_153,Canada,North America,David Okoro,Samsung S23 Ultra,Electronics,USD 1199,USD,"Mar 01, 2024",Crypto,Completed
10186,Client_958,Australia,APAC,Elena Rodriguez,MacBook Pro M3,Electronics,2499,USD,02/28/2024,Credit Card,Completed
10187,Client_408,USA,North America,David Okoro,Rack Cabinet,Infrastructure,1200 approx,USD,03/02/2024,Wire Transfer,Completed
10188,Client_142,Japan,APAC,David Okoro,Enterprise Server,Infrastructure,15200,USD,2023-14-32,Crypto,In Review
10189,Client_989,UK,EMEA,Michael Chen,Rack Cabinet,Infrastructure,1200,USD,16/02/2024,Credit Card,Completed
10190,Client_595,Japan,APAC,David Okoro,Sony WH-1000XM5,Accessories,USD 399,EUR,03/05/2024,Wire Transfer,Completed
10191,Client_709,Nigeria,Africa,Michael Chen,Herman Miller Chair,Furniture,,EUR,23/03/2024,Crypto,Completed
10192,Client_481,Nigeria,Africa,Yuki Tanaka,Enterprise Server,Infrastructure,15200,USD,01/23/2023,Credit Card,Cancelled
10193,Client_776,Germany,EMEA,Sarah Jenkins,Herman Miller Chair,Furniture,1450,GBP,N/A,PayPal,Cancelled
10194,Client_200,UK,EMEA,Yuki Tanaka,Conference Table,Furniture,2100,USD,2023.01.21,PayPal,Pending
10195,Client_479,Australia,APAC,Sarah Jenkins,Sony WH-1000XM5,Accessories,399,USD,18/04/2023,Wire Transfer,Pending
10196,Client_53,Germany,EMEA,Elena Rodriguez,Herman Miller Chair,Furniture,1450,USD,"Mar 02, 2023",Wire Transfer,Pending
10197,Client_27,UK,EMEA,Sarah Jenkins,Electric Standing Desk,Furniture,850,GBP,19/02/2024,Wire Transfer,Cancelled
10198,Client_585,Canada,North America,Michael Chen,Herman Miller Chair,Furniture,1450,NGN,05/18/2023,Crypto,Completed
10199,Client_526,Germany,EMEA,Michael Chen,MacBook Pro M3,Electronics,2499,USD,01/17/2023,PayPal,Cancelled
10200,Client_650,USA,North America,David Okoro,Sony WH-1000XM5,Accessories,399,USD,04/04/2024,Credit Card,Pending
10201,Client_186,Germany,EMEA,Michael Chen,Network Switch,Infrastructure,4500,NGN,15/04/2024,Wire Transfer,Completed
10202,Client_380,UK,EMEA,Michael Chen,Network Switch,Infrastructure,4500,JPY,"Mar 23, 2024",Credit Card,Completed
10203,Client_568,Canada,North America,David Okoro,Network Switch,Infrastructure,4500,USD,03/22/2023,Crypto,Cancelled
10204,Client_196,Australia,APAC,Yuki Tanaka,Thunderbolt Dock,Accessories,299,GBP,05/02/2024,Wire Transfer,Cancelled
10205,Client_217,USA,North America,Elena Rodriguez,iPhone 15 Pro,Electronics,999,USD,07/12/2023,PayPal,Completed
10205,Client_217,USA,North America,Elena Rodriguez,iPhone 15 Pro,Electronics,999,USD,07/12/2023,PayPal,Completed
10206,Client_887,Japan,APAC,David Okoro,Electric Standing Desk,Furniture,850,USD,01/04/2024,Wire Transfer,Pending
10207,Client_92,Nigeria,Africa,Michael Chen,Herman Miller Chair,Furniture,USD 1450,USD,2024.01.18,Crypto,In Review
10208,Client_634,Canada,North America,Michael Chen,MacBook Pro M3,Electronics,2499,USD,N/A,Wire Transfer,Pending
10209,Client_349,Canada,North America,Yuki Tanaka,iPhone 15 Pro,Electronics,999,GBP,"Mar 12, 2024",Crypto,Cancelled
10210,Client_274,Australia,APAC,Michael Chen,MacBook Pro M3,Electronics,2499,GBP,12/01/2023,Credit Card,Pending
10211,Client_856,Nigeria,Africa,David Okoro,Network Switch,Infrastructure,4500,USD,N/A,Credit Card,Completed
